fold,accuracy,precision,recall,f1,roc_auc,avg_precision,mse,mae,mean_confidence
1,0.625,0.0,0.0,0.0,0.6255393484147087,0.41141462355005876,0.28167869119803945,0.4104961177734571,1.0
2,0.8598459901717412,0.08668730650154799,0.005317128750474744,0.010019681517266059,0.46611372270992835,0.11913263247421106,0.2016974323849827,0.4459134799448714,1.0
3,0.7172619047619048,1.0,0.5833333333333334,0.7368421052631579,0.8770711500974661,0.94840247229034,0.21553150346507105,0.38413546487156836,1.0
4,0.8869047619047619,0.7142857142857143,1.0,0.8333333333333334,0.9355754531557109,0.7967321554622271,0.12343705412321408,0.2622450167490613,1.0
5,0.9434523809523809,0.8571428571428571,1.0,0.9230769230769231,0.977754069859333,0.9533529331415874,0.07435719752790497,0.24072555326191442,1.0
6,0.7410714285714286,0.8454545454545455,0.5705521472392638,0.6813186813186813,0.8970176247384659,0.8749190874752145,0.18377006517528743,0.3970651076663108,1.0
7,0.8624161073825504,0.717741935483871,0.9368421052631579,0.8127853881278538,0.9604355716878403,0.9163210645118551,0.11649076172386241,0.3149950854330255,1.0
8,0.8303571428571429,1.0,0.7,0.8235294117647058,0.9174477289113195,0.9488543695607878,0.15249329538468046,0.3542637242270367,1.0
9,0.7113095238095238,0.7142857142857143,0.6168831168831169,0.662020905923345,0.7025474525474524,0.6348394753517648,0.21844620241853152,0.3883531801402569,1.0
10,0.7615176151761518,0.6018099547511312,1.0,0.751412429378531,0.9683637058748567,0.9482819633842277,0.1708945841563556,0.36469318683392954,1.0
11,0.3805774278215223,0.3805774278215223,1.0,0.5513307984790875,0.6778638223261251,0.6867707981098434,0.5509744173389337,0.6005997466915861,1.0
