subject_id,task_id,video_exists,audio_exists,physio_exists,video_duration,audio_duration,physio_duration,status,details
g7r2,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
4e8r,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
37ir,reading,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
v8mh,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
u3v9,counting1,False,True,True,0.0,60.0,60.0,Missing Face,No video file
9j3o,baseline,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
dmbd,counting3,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
b2l8,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
h8r2,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
r5s8,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
uymz,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
iqyg,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
g7r2,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
9txq,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
h7j3,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
9t6n,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
b2l8,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
m8g5,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
hvpa,breathing,False,False,True,0.0,0.0,180.0,Missing Voice,No video file; No audio file
hvpa,stroop,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
2z7d,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
hvpa,video1,False,False,True,0.0,0.0,174.0,Missing Voice,No video file; No audio file
4e8r,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
9txq,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
h8s1,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
m8g5,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
kkf5,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
c3m7,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
qw5t,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
wfsl,baseline,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
71i5,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
4e8r,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
8i4i,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
45lx,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
4woj,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
k2v7,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
6k5f,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
iqyg,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
kkf5,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
qw5t,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
45lx,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
dmbd,reading,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
kkf5,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
a1k9,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
cxj0,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
hvpa,video2,False,False,True,0.0,0.0,118.0,Missing Voice,No video file; No audio file
b9w0,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
x1q3,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
g9j5,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
e5p4,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
x1q3,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
x1q3,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
t6v9,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
physio,certified,False,False,True,0.0,0.0,262.984,Missing Voice,No video file; No audio file
2ea4,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
71i5,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
i9t9,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
h8s1,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
2hpu,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
hh2e,math,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
2ea4,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
c3m7,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
j9h8,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
hvpa,speaking,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
ctzy,reading,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
8g4y,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
37ir,baseline,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
wssm,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
chdf,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
dmbd,relax,False,False,True,0.0,0.0,150.0,Missing Voice,No video file; No audio file
j9h8,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
h8s1,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
j1u8,breathing,False,False,True,0.0,0.0,180.0,Missing Voice,No video file; No audio file
7h5u,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
r3zm,counting2,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
h8s1,math,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
7m3c,counting1,False,True,True,0.0,60.0,60.0,Missing Face,No video file
5f7t,baseline,True,False,True,60.0,0.0,60.0,Missing Voice,No audio file
b9w0,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
tmvd,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
ql3b,breathing,False,False,True,0.0,0.0,180.0,Missing Voice,No video file; No audio file
uymz,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
9j3o,stroop,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
ql3b,stroop,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
qx2o,reading,False,False,True,0.0,0.0,60.0,Missing Voice,No video file; No audio file
tmvd,video1,True,False,True,174.0,0.0,174.0,Missing Voice,No audio file
ql3b,video1,False,False,True,0.0,0.0,174.0,Missing Voice,No video file; No audio file
6g6y,counting1,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
x1q3,video2,True,False,True,118.0,0.0,118.0,Missing Voice,No audio file
9t6n,counting3,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
ctzy,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
6g6y,relax,True,False,True,150.0,0.0,150.0,Missing Voice,No audio file
bfl5,breathing,True,False,True,180.0,0.0,180.0,Missing Voice,No audio file
x1q3,speaking,True,True,True,60.0,60.0,60.0,Aligned,Aligned (60.0s)
