fold,accuracy,precision,recall,f1,roc_auc,avg_precision,mse,mae,mean_confidence
1,0.7737430167597765,1.0,0.36220472440944884,0.5317919075144508,0.9912738180454717,0.9823825511704414,0.13221069331212598,0.23971395516070906,1.0
2,0.8169398907103825,0.8539325842696629,0.5846153846153846,0.6940639269406392,0.9276401564537158,0.8350095159614259,0.13014437471638643,0.30741717843491523,1.0
3,0.8556430446194225,0.9326923076923077,0.6689655172413793,0.7791164658634538,0.9350964348334307,0.9154433302340522,0.14484505695913172,0.3592221033307198,1.0
4,0.9483695652173914,0.9752066115702479,0.8805970149253731,0.9254901960784314,0.9957264957264957,0.9921763710961947,0.1708181532885756,0.410419726582325,1.0
5,0.7035040431266847,0.5510204081632653,1.0,0.7105263157894737,1.0,1.0,0.17710513585762896,0.377779177497982,1.0
6,0.8932584269662921,1.0,0.703125,0.8256880733944955,0.9968475877192983,0.9940920526980112,0.07044673613204676,0.17273696032718996,1.0
7,0.7100271002710027,0.5541666666666667,1.0,0.7131367292225201,0.9946476360392507,0.991366898500429,0.1798480384972782,0.36710515048930314,1.0
8,0.3978494623655914,0.37777777777777777,1.0,0.5483870967741935,1.0,0.9999999999999999,0.19962907844838726,0.4040503855193815,1.0
9,0.7397260273972602,0.8863636363636364,0.3023255813953488,0.4508670520231214,0.9279332545000658,0.8622490240829536,0.15477512148116715,0.33118074095412475,1.0
10,0.8873994638069705,0.9285714285714286,0.7536231884057971,0.832,0.9539623805118718,0.9373118209375443,0.14642428320652884,0.37060774419326886,1.0
11,0.6818181818181818,0.6410256410256411,0.2032520325203252,0.30864197530864196,0.6887492455710583,0.5251481501926577,0.21363453167334984,0.4463724424554543,1.0
12,0.9539295392953929,0.9745762711864406,0.8914728682170543,0.9311740890688259,0.9968023255813954,0.9934621804557593,0.10397686760808197,0.31169952807549217,1.0
13,0.3506849315068493,0.3506849315068493,1.0,0.5192697768762677,0.9865835970464136,0.9794973570453758,0.3110664450938527,0.48737190635236977,1.0
14,0.8571428571428571,0.7180851063829787,1.0,0.8359133126934984,1.0,1.0,0.16319040904795795,0.37666628543900027,1.0
15,0.9606299212598425,0.9166666666666666,0.9862068965517241,0.9501661129568106,0.989333722969024,0.9807860598002517,0.04252360978550029,0.1452762936571921,1.0
