--- StressID Physio Extraction ---
Subject: 2ea4, Task: Breathing, Frames: 540, Windows: 35
Subject: 2ea4, Task: Counting1, Frames: 180, Windows: 11
Subject: 2ea4, Task: Counting2, Frames: 180, Windows: 11
Subject: 2ea4, Task: Counting3, Frames: 180, Windows: 11
Subject: 2ea4, Task: Math, Frames: 180, Windows: 11
Subject: 2ea4, Task: Reading, Frames: 180, Windows: 11
Subject: 2ea4, Task: Relax, Frames: 450, Windows: 29
Subject: 2ea4, Task: Speaking, Frames: 180, Windows: 11
Subject: 2ea4, Task: Stroop, Frames: 180, Windows: 11
Subject: 2ea4, Task: Video1, Frames: 522, Windows: 33
Subject: 2ea4, Task: Video2, Frames: 354, Windows: 22
Subject: 2hpu, Task: Breathing, Frames: 540, Windows: 35
Subject: 2hpu, Task: Counting1, Frames: 180, Windows: 11
Subject: 2hpu, Task: Counting2, Frames: 180, Windows: 11
Subject: 2hpu, Task: Counting3, Frames: 180, Windows: 11
Subject: 2hpu, Task: Math, Frames: 180, Windows: 11
Subject: 2hpu, Task: Reading, Frames: 180, Windows: 11
Subject: 2hpu, Task: Relax, Frames: 450, Windows: 29
Subject: 2hpu, Task: Speaking, Frames: 180, Windows: 11
Subject: 2hpu, Task: Stroop, Frames: 180, Windows: 11
Subject: 2hpu, Task: Video1, Frames: 522, Windows: 33
Subject: 2hpu, Task: Video2, Frames: 354, Windows: 22
Subject: 2z7d, Task: Breathing, Frames: 540, Windows: 35
Subject: 2z7d, Task: Counting1, Frames: 180, Windows: 11
Subject: 2z7d, Task: Counting2, Frames: 180, Windows: 11
Subject: 2z7d, Task: Counting3, Frames: 180, Windows: 11
Subject: 2z7d, Task: Math, Frames: 180, Windows: 11
Subject: 2z7d, Task: Reading, Frames: 180, Windows: 11
Subject: 2z7d, Task: Relax, Frames: 450, Windows: 29
Subject: 2z7d, Task: Speaking, Frames: 180, Windows: 11
Subject: 2z7d, Task: Stroop, Frames: 180, Windows: 11
Subject: 2z7d, Task: Video1, Frames: 522, Windows: 33
Subject: 2z7d, Task: Video2, Frames: 354, Windows: 22
Subject: 45lx, Task: Breathing, Frames: 540, Windows: 35
Subject: 45lx, Task: Counting1, Frames: 180, Windows: 11
Subject: 45lx, Task: Counting2, Frames: 180, Windows: 11
Subject: 45lx, Task: Counting3, Frames: 180, Windows: 11
Subject: 45lx, Task: Math, Frames: 180, Windows: 11
Subject: 45lx, Task: Reading, Frames: 180, Windows: 11
Subject: 45lx, Task: Relax, Frames: 450, Windows: 29
Subject: 45lx, Task: Speaking, Frames: 180, Windows: 11
Subject: 45lx, Task: Stroop, Frames: 180, Windows: 11
Subject: 45lx, Task: Video1, Frames: 522, Windows: 33
Subject: 45lx, Task: Video2, Frames: 354, Windows: 22
Subject: 4e8r, Task: Breathing, Frames: 540, Windows: 35
Subject: 4e8r, Task: Counting1, Frames: 180, Windows: 11
Subject: 4e8r, Task: Counting2, Frames: 180, Windows: 11
Subject: 4e8r, Task: Counting3, Frames: 180, Windows: 11
Subject: 4e8r, Task: Math, Frames: 180, Windows: 11
Subject: 4e8r, Task: Reading, Frames: 180, Windows: 11
Subject: 4e8r, Task: Relax, Frames: 450, Windows: 29
Subject: 4e8r, Task: Speaking, Frames: 180, Windows: 11
Subject: 4e8r, Task: Stroop, Frames: 180, Windows: 11
Subject: 4e8r, Task: Video1, Frames: 522, Windows: 33
Subject: 4e8r, Task: Video2, Frames: 354, Windows: 22
Subject: 4woj, Task: Breathing, Frames: 540, Windows: 35
Subject: 4woj, Task: Counting1, Frames: 180, Windows: 11
Subject: 4woj, Task: Counting2, Frames: 180, Windows: 11
Subject: 4woj, Task: Counting3, Frames: 180, Windows: 11
Subject: 4woj, Task: Math, Frames: 180, Windows: 11
Subject: 4woj, Task: Reading, Frames: 180, Windows: 11
Subject: 4woj, Task: Relax, Frames: 450, Windows: 29
Subject: 4woj, Task: Speaking, Frames: 180, Windows: 11
Subject: 4woj, Task: Stroop, Frames: 180, Windows: 11
Subject: 4woj, Task: Video1, Frames: 522, Windows: 33
Subject: 4woj, Task: Video2, Frames: 354, Windows: 22
Subject: 5f7t, Task: Breathing, Frames: 540, Windows: 35
Subject: 5f7t, Task: Counting1, Frames: 180, Windows: 11
Subject: 5f7t, Task: Counting2, Frames: 180, Windows: 11
Subject: 5f7t, Task: Counting3, Frames: 180, Windows: 11
Subject: 5f7t, Task: Math, Frames: 180, Windows: 11
Subject: 5f7t, Task: Reading, Frames: 180, Windows: 11
Subject: 5f7t, Task: Relax, Frames: 450, Windows: 29
Subject: 5f7t, Task: Speaking, Frames: 180, Windows: 11
Subject: 5f7t, Task: Stroop, Frames: 180, Windows: 11
